1                    2              3      4      5     6    7      8      9           10 11  12  13  14     15  16      17      18      19      20    21     
===================  =============  =====  =====  ====  ===  =====  =====  ==========  =  ==  ==  ==  =====  ==  ======  ======  ======  ======  ====  ====== 
1969-11-19T18:42:13  2440545.27932    1.8  -9.99   493  318  -99.9  -99.9     2622080  3   3   0   0   19.0   2    13.0  -999.9     2.0     3.0  2.60     6.7 
1969-11-19T18:42:41  2440545.27964    0.8  -9.99   591  256  -99.9  -99.9     2622080  3   3   0   0   16.0   2     9.0  -999.9  -999.9     1.0  1.90     7.2 
1969-11-19T18:43:09  2440545.27997    0.4  -9.99   734  145  -99.9  -99.9     2622080  3   3   0   0   17.0   2    10.0  -999.9     2.0  -999.9  1.30     7.1 
1969-11-19T18:43:37  2440545.28029    0.6  -9.99   673  187  -99.9  -99.9     2622080  3   3   0   0   14.0   2    10.0  -999.9  -999.9  -999.9  1.46     6.7 
1969-11-19T18:44:05  2440545.28061    1.0  -9.99   591  230  -99.9  -99.9     2622080  3   3   0   0   13.0   2    13.0  -999.9     2.0     1.0  1.76     6.7 
1969-11-19T18:44:33  2440545.28094    0.7  -9.99   645  213  -99.9  -99.9      524928  3   3   0   0   14.0   2    10.0  -999.9     1.0     1.0  1.58     6.3 
1969-11-19T18:45:01  2440545.28126    0.7  -9.99   645  213  -99.9  -99.9      524928  3   3   0   0   14.0   2    10.0  -999.9     2.0  -999.9  1.58     6.4 
1969-11-19T18:45:57  2440545.28191    0.7  -9.99   603  200  -99.9  -99.9      524928  3   3   0   0   11.0   2    10.0  -999.9     2.0     2.0  1.59     6.1 
1969-11-19T18:46:26  2440545.28225    0.9  -9.99   552  220  -99.9  -99.9      524928  3   3   0   0   14.0   2    11.0  -999.9     2.0  -999.9  1.79     5.9 
1969-11-19T18:46:54  2440545.28257    0.9  -9.99   533  236  -99.9  -99.9      524928  3   3   0   0   19.0   2     9.0  -999.9  -999.9     1.0  1.93     6.1 
1969-11-19T18:47:22  2440545.28289    0.6  -9.99   602  184  -99.9  -99.9      524928  3   3   0   0   13.0   2     8.0  -999.9     1.0     1.0  1.52     6.3 
1969-11-19T18:48:18  2440545.28354    0.7  -9.99   583  191  -99.9  -99.9      524928  3   3   0   0   14.0   2    10.0  -999.9     2.0  -999.9  1.58     6.1 
1969-11-19T18:48:46  2440545.28387    0.4   0.18   593  121  -99.9  -99.9      524928  3   3   0   0   23.0   2     8.0  -999.9     1.0     3.0  1.31     6.0 
1969-11-19T18:49:14  2440545.28419    0.7  -9.99   547  187  -99.9  -99.9      524928  3   3   0   0   23.0   2     9.0  -999.9  -999.9     2.0  1.62     6.1 
1969-11-19T18:49:42  2440545.28451    0.6  -9.99   556  179  -99.9  -99.9      524928  3   3   0   0   23.0   2     9.0  -999.9     1.0  -999.9  1.56     6.3 
1969-11-19T18:50:10  2440545.28484    0.4  -9.99   610  114  -99.9  -99.9      524928  3   3   0   0   17.0   2     7.0  -999.9     3.0     1.0  1.29     5.6 
1969-11-19T18:51:06  2440545.28549    0.6  -9.99   598  149  -99.9  -99.9      524928  3   3   0   0   19.0   2     9.0  -999.9     2.0     2.0  1.40     5.4 
1969-11-19T18:51:34  2440545.28581    1.3  -9.99   463  248  -99.9  -99.9      524928  3   3   0   0   22.0   2    10.0  -999.9     3.0  -999.9  2.24     5.4 
