Time,Spacecraft Clock,MAG ID,Br,Bt,Bn,Bmag,Average Bmag,Delta,Lambda,RMS Br,RMS Bt,RMS Bn,NPTS,DFLAG
1979-02-26T00:00:35.897,16164:19:001,1,   -0.630,    0.968,    0.015,    1.155,    1.156,  0.759,123.065,   0.014,   0.025,   0.046, 5,"""        """
1979-02-26T00:01:23.897,16164:20:001,1,   -0.568,    0.998,   -0.076,    1.151,    1.153, -3.777,119.676,   0.029,   0.018,   0.066, 5,"""        """
1979-02-26T00:02:11.897,16164:21:001,1,   -0.598,    0.983,   -0.074,    1.153,    1.155, -3.654,121.300,   0.057,   0.018,   0.040, 5,"""        """
1979-02-26T00:02:59.897,16164:22:001,1,   -0.656,    0.951,   -0.076,    1.158,    1.160, -3.775,124.572,   0.057,   0.047,   0.015, 5,"""        """
1979-02-26T00:03:47.897,16164:23:001,1,   -0.630,    0.980,   -0.055,    1.167,    1.167, -2.681,122.732,   0.019,   0.018,   0.015, 5,"""        """
1979-02-26T00:04:35.897,16164:24:001,1,   -0.594,    1.002,   -0.059,    1.167,    1.167, -2.901,120.669,   0.034,   0.016,   0.025, 5,"""        """
1979-02-26T00:05:23.897,16164:25:001,1,   -0.605,    1.013,   -0.029,    1.181,    1.181, -1.415,120.832,   0.027,   0.017,   0.020, 5,"""        """
1979-02-26T00:06:11.897,16164:26:001,1,   -0.634,    0.999,   -0.029,    1.183,    1.184, -1.415,122.401,   0.034,   0.022,   0.009, 5,"""        """
1979-02-26T00:06:59.898,16164:27:001,1,   -0.648,    0.981,   -0.015,    1.176,    1.177, -0.722,123.453,   0.024,   0.008,   0.050, 5,"""        """
1979-02-26T00:07:47.898,16164:28:001,1,   -0.593,    1.004,    0.006,    1.166,    1.168,  0.277,120.568,   0.055,   0.026,   0.015, 5,"""        """
1979-02-26T00:08:35.898,16164:29:001,1,   -0.549,    1.020,    0.014,    1.159,    1.159,  0.688,118.307,   0.029,   0.010,   0.008, 5,"""        """
1979-02-26T00:09:23.898,16164:30:001,1,   -0.502,    1.043,    0.040,    1.158,    1.158,  1.969,115.713,   0.013,   0.008,   0.018, 5,"""        """
1979-02-26T00:10:11.898,16164:31:001,1,   -0.504,    1.046,    0.046,    1.162,    1.162,  2.248,115.743,   0.014,   0.003,   0.019, 5,"""        """
1979-02-26T00:10:59.898,16164:32:001,1,   -0.490,    1.039,    0.086,    1.152,    1.153,  4.273,115.256,   0.031,   0.018,   0.032, 5,"""        """
1979-02-26T00:11:47.898,16164:33:001,1,   -0.464,    1.055,    0.098,    1.157,    1.162,  4.844,113.722,   0.079,   0.050,   0.053, 5,"""        """
1979-02-26T00:12:35.898,16164:34:001,1,   -0.478,    1.053,    0.101,    1.160,    1.161,  4.971,114.409,   0.038,   0.020,   0.027, 5,"""        """
1979-02-26T00:13:23.898,16164:35:001,1,   -0.428,    1.080,    0.141,    1.170,    1.171,  6.905,111.621,   0.041,   0.014,   0.008, 5,"""        """
1979-02-26T00:14:11.898,16164:36:001,1,   -0.509,    1.024,    0.130,    1.151,    1.152,  6.468,116.418,   0.029,   0.009,   0.023, 5,"""        """
1979-02-26T00:14:59.898,16164:37:001,1,   -0.404,    1.073,    0.184,    1.161,    1.162,  9.119,110.635,   0.043,   0.023,   0.030, 5,"""        """
1979-02-26T00:15:47.898,16164:38:001,1,   -0.381,    1.075,    0.228,    1.163,    1.163, 11.292,109.524,   0.022,   0.014,   0.011, 5,"""        """
